CollisionWarning,CollisionAvoidance,LaneStates,OpticalFlow,"ACTION - (const_speed, steer_output, 0, flasher, counter)"
URGENT_WARN,CONTINUE,DRIVING,TRAFFIC_LEFT,"(BRAKE_SPEED, derive from collected waypoint, 0, 0, counter + 1)"
URGENT_WARN,CONTINUE,DRIVING,SAFE_TO_OVERTAKE,"(BRAKE_SPEED, derive from collected waypoint, 0, 0, counter + 1)"
URGENT_WARN,CONTINUE,DRIVING,TRAFFIC_RIGHT,"(BRAKE_SPEED, derive from collected waypoint, 0, 0, counter + 1)"
URGENT_WARN,CONTINUE,CHANGE,TRAFFIC_LEFT,"(BRAKE_SPEED, derive from target waypoint, 0, RIGHT, counter + 1) "
URGENT_WARN,CONTINUE,CHANGE,SAFE_TO_OVERTAKE,"(BRAKE_SPEED, derive from target waypoint, 0, RIGHT, counter + 1) "
URGENT_WARN,CONTINUE,CHANGE,TRAFFIC_RIGHT,"(BRAKE_SPEED, 0, 0, 0, counter + 1) "
URGENT_WARN,CONTINUE,OVERTAKE,TRAFFIC_LEFT,"(BRAKE_SPEED, derive from target waypoint, 0, RIGHT, counter + 1) "
URGENT_WARN,CONTINUE,OVERTAKE,SAFE_TO_OVERTAKE,"(BRAKE_SPEED, derive from target waypoint, 0, RIGHT, counter + 1) "
URGENT_WARN,CONTINUE,OVERTAKE,TRAFFIC_RIGHT,"(BRAKE_SPEED, derive from target waypoint, 0, RIGHT, counter + 1) "
URGENT_WARN,SWITCH,DRIVING,TRAFFIC_LEFT,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1) "
URGENT_WARN,SWITCH,DRIVING,SAFE_TO_OVERTAKE,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
URGENT_WARN,SWITCH,DRIVING,TRAFFIC_RIGHT,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
URGENT_WARN,SWITCH,CHANGE,TRAFFIC_LEFT,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
URGENT_WARN,SWITCH,CHANGE,SAFE_TO_OVERTAKE,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
URGENT_WARN,SWITCH,CHANGE,TRAFFIC_RIGHT,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
URGENT_WARN,SWITCH,OVERTAKE,TRAFFIC_LEFT,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
URGENT_WARN,SWITCH,OVERTAKE,SAFE_TO_OVERTAKE,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
URGENT_WARN,SWITCH,OVERTAKE,TRAFFIC_RIGHT,"(BRAKE_SPEED, derive from correct collected waypoint, 0, LEFT, counter + 1)"
